interview_id,candidate_id,job_id,status,scheduled_at,completed_at,duration_minutes
1,1,1,No-show,2026-08-01 12:45:00,,
2,2,4,Completed,2026-07-04 15:30:00,2026-07-04 16:08:00,38
3,3,3,Completed,2026-06-25 15:30:00,2026-06-25 15:50:00,20
4,4,4,Interrupted,2026-05-30 16:30:00,2026-05-30 16:38:00,8
5,5,2,Completed,2026-06-12 12:30:00,2026-06-12 12:58:00,28
6,6,5,Interrupted,2026-03-20 09:30:00,2026-03-20 09:42:00,12
7,9,4,Completed,2026-05-17 11:00:00,2026-05-17 11:38:00,38
8,10,7,Completed,2026-05-23 11:15:00,2026-05-23 11:43:00,28
9,11,6,No-show,2026-06-10 14:30:00,,
10,12,3,Completed,2026-07-24 16:30:00,2026-07-24 17:11:00,41
11,13,8,Completed,2026-06-13 10:15:00,2026-06-13 10:49:00,34
12,14,6,Interrupted,2026-03-24 17:30:00,2026-03-24 17:36:00,6
13,15,7,Completed,2026-05-20 17:00:00,2026-05-20 17:49:00,49
14,16,6,Completed,2026-05-05 13:45:00,2026-05-05 14:28:00,43
15,17,8,Completed,2026-04-10 16:00:00,2026-04-10 16:55:00,55
16,18,5,Interrupted,2026-08-07 12:00:00,2026-08-07 12:15:00,15
17,19,6,Interrupted,2026-05-06 13:45:00,2026-05-06 13:51:00,6
18,20,2,Completed,2026-03-21 09:30:00,2026-03-21 10:21:00,51
19,22,7,Completed,2026-08-05 17:15:00,2026-08-05 17:59:00,44
20,23,1,Completed,2026-04-11 17:45:00,2026-04-11 18:14:00,29
21,24,6,Completed,2026-04-07 16:45:00,2026-04-07 17:22:00,37
22,25,8,Completed,2026-03-07 12:45:00,2026-03-07 13:33:00,48
23,26,3,No-show,2026-07-18 10:30:00,,
24,28,1,Interrupted,2026-08-15 14:00:00,2026-08-15 14:11:00,11
25,30,1,Completed,2026-05-11 10:45:00,2026-05-11 11:10:00,25
26,31,2,Completed,2026-07-13 09:00:00,2026-07-13 09:41:00,41
27,32,3,Interrupted,2026-04-08 12:00:00,2026-04-08 12:13:00,13
28,33,3,Completed,2026-05-14 12:30:00,2026-05-14 12:59:00,29
29,34,4,Completed,2026-07-22 11:15:00,2026-07-22 12:09:00,54
30,35,7,Completed,2026-06-12 10:00:00,2026-06-12 10:28:00,28
31,36,2,Completed,2026-05-10 12:30:00,2026-05-10 12:51:00,21
32,37,1,Completed,2026-08-06 11:45:00,2026-08-06 12:38:00,53
33,38,4,Completed,2026-03-10 16:45:00,2026-03-10 17:28:00,43
34,39,2,Completed,2026-03-22 16:15:00,2026-03-22 16:37:00,22
35,40,4,Completed,2026-05-24 09:00:00,2026-05-24 09:50:00,50
36,41,3,Completed,2026-08-04 10:45:00,2026-08-04 11:33:00,48
37,43,7,No-show,2026-06-04 14:15:00,,
38,45,2,Completed,2026-05-08 17:30:00,2026-05-08 18:14:00,44
39,46,8,Completed,2026-04-18 17:45:00,2026-04-18 18:11:00,26
40,47,8,No-show,2026-05-08 17:15:00,,
41,48,2,Completed,2026-03-24 12:45:00,2026-03-24 13:26:00,41
