screening_id,candidate_id,job_id,score,screened_at
1,1,1,63.5,2026-07-23
2,2,4,76.32,2026-06-25
3,3,3,55.1,2026-06-19
4,4,4,87.66,2026-05-28
5,5,2,68.62,2026-06-05
6,6,5,81.88,2026-03-17
7,7,2,30.45,2026-06-07
8,8,6,40.95,2026-07-29
9,9,4,66.33,2026-05-15
10,10,7,74.34,2026-05-16
11,11,6,68.21,2026-05-31
12,12,3,68.27,2026-07-20
13,13,8,55.57,2026-06-10
14,14,6,99.77,2026-03-16
15,15,7,78.66,2026-05-12
16,16,6,50.95,2026-04-28
17,17,8,56.09,2026-04-07
18,18,5,68.5,2026-07-31
19,19,6,80.94,2026-04-27
20,20,2,58.81,2026-03-17
21,21,3,45.35,2026-06-18
22,22,7,66.02,2026-08-02
23,23,1,76.42,2026-04-02
24,24,6,80.55,2026-03-30
25,25,8,72.53,2026-03-05
26,26,3,64.71,2026-07-13
27,27,4,47.86,2026-04-14
28,28,1,53.17,2026-08-05
29,29,2,49.56,2026-06-06
30,30,1,69.96,2026-05-05
31,31,2,57.87,2026-07-08
32,32,3,84.64,2026-04-03
33,33,3,74.69,2026-05-09
34,34,4,61.69,2026-07-20
35,35,7,60.32,2026-06-06
36,36,2,57.58,2026-05-08
37,37,1,65.98,2026-08-02
38,38,4,65.5,2026-03-07
39,39,2,61.2,2026-03-12
40,40,4,65.73,2026-05-14
41,41,3,60.2,2026-07-27
42,42,8,49.21,2026-06-16
43,43,7,69.95,2026-06-01
44,44,1,44.58,2026-03-30
45,45,2,73.04,2026-05-05
46,46,8,72.07,2026-04-08
47,47,8,67.67,2026-05-05
48,48,2,59.88,2026-03-16
49,49,2,41.87,2026-05-03
50,50,8,49.27,2026-04-28
51,51,3,81.27,2026-06-10
52,52,8,81.14,2026-05-16
53,53,3,47.5,2026-04-19
54,54,1,64.95,2026-05-25
55,55,8,80.46,2026-07-10
56,56,1,68.95,2026-07-14
57,57,2,64.98,2026-05-05
58,58,4,71.56,2026-08-01
59,59,2,100,2026-06-19
60,60,6,47.02,2026-05-11
61,61,5,89.4,2026-06-14
62,62,6,71.3,2026-03-24
63,63,2,45.63,2026-03-21
64,64,5,37.8,2026-04-08
65,65,4,39.68,2026-06-04
66,66,5,75.79,2026-07-18
67,67,2,57.2,2026-04-05
68,68,3,76.03,2026-05-11
69,69,6,53.91,2026-04-25
70,70,8,85.23,2026-05-08
71,71,7,72.37,2026-05-14
72,72,3,47.53,2026-05-08
73,73,7,59.77,2026-07-26
74,74,3,77.18,2026-07-23
75,75,3,65.33,2026-06-24
76,76,6,64.36,2026-03-15
77,77,4,56.73,2026-03-30
78,78,3,70.01,2026-05-05
79,79,7,65.85,2026-03-08
80,80,4,44.0,2026-05-10
81,81,1,64.15,2026-07-02
82,82,6,72.9,2026-05-22
83,83,1,77.65,2026-04-20
84,84,2,53.24,2026-05-16
85,85,6,72.19,2026-03-11
86,86,5,42.53,2026-03-15
87,87,6,80.3,2026-05-22
88,88,2,66.32,2026-06-08
89,89,5,57.72,2026-03-14
90,90,4,66.8,2026-06-06
91,91,6,76.36,2026-04-04
92,92,5,59.88,2026-06-17
93,93,3,86.33,2026-04-21
94,94,5,28.79,2026-06-16
95,95,5,51.0,2026-04-28
96,96,6,60.33,2026-07-03
97,97,8,64.81,2026-04-14
98,98,6,56.88,2026-03-27
99,99,4,69.18,2026-04-23
100,100,4,35.85,2026-07-05
101,101,7,64.88,2026-07-29
102,102,7,66.07,2026-05-07
103,103,7,45.69,2026-04-28
104,104,1,54.4,2026-07-25
105,105,3,51.6,2026-07-02
106,106,6,61.69,2026-06-27
107,107,8,40.01,2026-04-12
108,108,5,89.31,2026-05-05
109,109,8,55.15,2026-05-05
110,110,5,60.23,2026-05-01
111,111,2,57.95,2026-04-09
112,112,3,80.44,2026-04-28
113,113,6,91.53,2026-07-19
114,114,4,63.07,2026-06-20
115,115,7,72.6,2026-07-06
116,116,7,63.29,2026-06-19
117,117,4,85.87,2026-07-07
118,118,8,42.7,2026-03-09
119,119,3,48.64,2026-06-30
120,120,1,62.31,2026-06-13
121,121,2,92.36,2026-06-19
122,122,1,36.21,2026-05-10
123,123,8,67.32,2026-05-28
124,124,7,53.46,2026-05-08
125,125,1,47.75,2026-07-22
126,126,2,41.31,2026-03-15
127,127,4,85.19,2026-03-10
128,128,3,59.02,2026-07-05
129,129,4,70.5,2026-07-01
130,130,3,66.26,2026-04-01
131,131,2,64.67,2026-07-28
132,132,7,49.0,2026-06-11
133,133,4,43.35,2026-03-28
134,134,2,73.0,2026-07-24
135,135,7,62.7,2026-06-06
136,136,1,69.55,2026-06-19
137,137,7,54.82,2026-06-05
138,138,7,69.74,2026-04-20
139,139,8,61.07,2026-06-30
140,140,6,56.4,2026-05-03
141,141,8,53.62,2026-05-04
142,142,7,55.65,2026-05-30
143,143,3,72.12,2026-07-07
144,144,6,60.66,2026-05-14
145,145,1,43.47,2026-07-15
146,146,7,70.59,2026-07-07
147,147,8,61.14,2026-06-27
148,148,5,57.1,2026-04-29
149,149,6,77.61,2026-07-04
150,150,7,64.02,2026-07-22
