decision_id,candidate_id,job_id,decision,recruiter_name,decided_at
1,2,4,Advance,A. Fernandes,2026-07-05
2,3,3,Reject,A. Fernandes,2026-06-29
3,5,2,Advance,S. Kulkarni,2026-06-14
4,9,4,Reject,R. Menon,2026-05-21
5,10,7,Reject,P. Shah,2026-05-27
6,12,3,Reject,P. Shah,2026-07-28
7,13,8,Advance,R. Menon,2026-06-15
8,15,7,Advance,S. Kulkarni,2026-05-24
9,16,6,Reject,A. Fernandes,2026-05-07
10,17,8,Reject,P. Shah,2026-04-13
11,20,2,Reject,P. Shah,2026-03-25
12,22,7,Reject,P. Shah,2026-08-07
13,23,1,Advance,S. Kulkarni,2026-04-14
14,24,6,Reject,A. Fernandes,2026-04-08
15,25,8,Reject,A. Fernandes,2026-03-11
16,30,1,Advance,A. Fernandes,2026-05-12
17,31,2,Advance,A. Fernandes,2026-07-17
18,33,3,Advance,P. Shah,2026-05-15
19,34,4,Advance,A. Fernandes,2026-07-24
20,35,7,Advance,S. Kulkarni,2026-06-15
21,36,2,Reject,R. Menon,2026-05-13
22,37,1,Advance,S. Kulkarni,2026-08-08
23,38,4,Advance,A. Fernandes,2026-03-13
24,39,2,Advance,P. Shah,2026-03-24
25,40,4,Advance,R. Menon,2026-05-25
26,41,3,Reject,R. Menon,2026-08-08
27,45,2,Reject,S. Kulkarni,2026-05-12
28,46,8,Advance,P. Shah,2026-04-20
29,48,2,Advance,R. Menon,2026-03-26
30,51,3,Reject,P. Shah,2026-06-21
31,52,8,Reject,P. Shah,2026-05-24
32,54,1,Reject,P. Shah,2026-05-30
33,55,8,Advance,R. Menon,2026-07-15
34,56,1,Reject,R. Menon,2026-07-20
35,57,2,Advance,A. Fernandes,2026-05-15
36,58,4,Advance,A. Fernandes,2026-08-08
37,59,2,Advance,P. Shah,2026-06-30
38,61,5,Advance,R. Menon,2026-06-24
39,66,5,Reject,S. Kulkarni,2026-07-25
40,67,2,Reject,P. Shah,2026-04-13
41,68,3,Reject,P. Shah,2026-05-17
42,69,6,Reject,R. Menon,2026-05-03
43,70,8,Advance,R. Menon,2026-05-18
44,71,7,Advance,P. Shah,2026-05-22
45,73,7,Advance,R. Menon,2026-08-08
46,74,3,Reject,R. Menon,2026-08-01
47,75,3,Advance,S. Kulkarni,2026-07-04
48,76,6,Advance,R. Menon,2026-03-24
49,78,3,Advance,S. Kulkarni,2026-05-15
50,79,7,Advance,P. Shah,2026-03-14
51,82,6,Advance,R. Menon,2026-05-27
52,83,1,Reject,P. Shah,2026-05-02
53,84,2,Advance,S. Kulkarni,2026-05-27
54,85,6,Advance,S. Kulkarni,2026-03-22
55,87,6,Reject,A. Fernandes,2026-05-31
56,88,2,Reject,A. Fernandes,2026-06-14
57,89,5,Reject,P. Shah,2026-03-18
58,90,4,Advance,A. Fernandes,2026-06-12
59,91,6,Reject,S. Kulkarni,2026-04-09
60,92,5,Advance,A. Fernandes,2026-06-29
61,93,3,Reject,P. Shah,2026-04-29
62,95,5,Advance,A. Fernandes,2026-05-08
63,96,6,Advance,R. Menon,2026-07-15
64,97,8,Advance,S. Kulkarni,2026-04-21
65,99,4,Advance,S. Kulkarni,2026-04-29
66,101,7,Advance,R. Menon,2026-08-10
67,102,7,Advance,A. Fernandes,2026-05-15
68,104,1,Hire,P. Shah,2026-08-07
69,105,3,Advance,S. Kulkarni,2026-07-12
70,106,6,Advance,A. Fernandes,2026-07-01
71,108,5,Hire,P. Shah,2026-05-12
72,110,5,Advance,A. Fernandes,2026-05-08
73,111,2,Reject,A. Fernandes,2026-04-21
74,112,3,Advance,R. Menon,2026-05-09
75,113,6,Advance,A. Fernandes,2026-07-25
76,116,7,Advance,R. Menon,2026-06-27
77,117,4,Advance,R. Menon,2026-07-16
78,120,1,Reject,S. Kulkarni,2026-06-23
79,121,2,Reject,A. Fernandes,2026-06-27
80,123,8,Reject,P. Shah,2026-06-07
81,127,4,Reject,S. Kulkarni,2026-03-20
82,128,3,Advance,R. Menon,2026-07-12
83,131,2,Advance,A. Fernandes,2026-08-01
84,134,2,Advance,A. Fernandes,2026-07-30
85,135,7,Advance,A. Fernandes,2026-06-15
86,136,1,Advance,R. Menon,2026-07-02
87,138,7,Advance,P. Shah,2026-04-27
88,139,8,Advance,P. Shah,2026-07-09
89,140,6,Advance,A. Fernandes,2026-05-15
90,141,8,Reject,S. Kulkarni,2026-05-16
91,142,7,Reject,R. Menon,2026-06-06
92,143,3,Advance,P. Shah,2026-07-13
93,144,6,Advance,A. Fernandes,2026-05-25
94,146,7,Advance,P. Shah,2026-07-19
95,147,8,Advance,A. Fernandes,2026-07-02
96,148,5,Advance,P. Shah,2026-05-04
97,149,6,Advance,A. Fernandes,2026-07-15
